condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
248651825489998,123,100,22,74.9121558,27.63574975,334.9661751,621.5763093,1011.040856,48.84,1011.040856,4,6.403419768
248653983489998,107,100,210,140.205451,95.69310954,767.8208568,33688.90215,6349.273851,179.0714286,6349.273851,4,5.786138153
248653984489998,107,100,55,74.93570193,67.47653066,444.0195751,12068.33528,2797.900081,118.75,2797.900081,4,5.562623078
248655074489998,59,100,98,203.9483182,91.90675971,209.2731245,21194.61968,7187.022161,105.6153846,7187.022161,5,13.3671751
248655075489998,59,100,98,43.0135956,29.33136313,105.3890216,5305.219555,1289.498831,95,1289.498831,5,8.650505557
248655534489998,126,100,285,370.3067049,259.008267,160.9743013,65114.57734,17616.32533,200.8823529,17616.32533,3,20.5370857
248655735489998,90,100,165,376.6158593,286.6725337,486.8824868,64830.50849,14335.35364,145.9,14335.35364,5,11.90895152
248656153489998,101,100,72,378.8012303,357.748837,306.1093095,69644.05899,15013.81109,132.0714286,15013.81109,4,15.06273111
248656691489998,97,100,410,374.901647,325.1101023,176.0634086,55634.76057,14972.54318,149.6153846,14972.54318,4,19.75879354
248657400489998,81,100,40,60.80657493,59.0340983,392.7102334,1417.604309,1362.7499,49.54545455,1362.7499,5,5.328137985
248657962489998,102,100,35,100.0361615,70.643014,268.0750765,6763.911472,2491.305627,68.44444444,2491.305627,4,8.27154415
248659965489998,151,100,35,70.0735759,56.72469655,108.324828,3831.802997,1539.837755,55.55555556,1539.837755,3,10.89054059
248660820489998,81,100,180,457.496727,398.3672666,612.8347057,67004.71724,14863.28549,117.3846154,14863.28549,5,11.69926617
248662562489998,124,100,145,402.8157933,386.9462285,55.47644354,82536.97773,19911.44224,188.9047619,19911.44224,4,36.48675503
248662773489998,115,100,30,157.4276762,155.975853,519.508348,2820.419822,4448.738216,50.40540541,4448.738216,4,7.453848802
248662987489998,138,100,52,77.22845305,67.11591085,54.4893501,18245.99064,3829.512905,137.7142857,3829.512905,3,16.12015286
248663179489998,61,100,180,242.9745283,138.2272992,374.1804034,27306.37947,8612.327251,108.9230769,8612.327251,5,10.91129145
248663180489998,61,100,25,6.049016347,0,158.5858905,,25.59279506,13,25.59279506,5,2.644517275
248663427489998,124,100,137,250.7775399,215.0626924,184.7858396,64554.52537,12440.8002,192.0833333,12440.8002,4,15.77416128
248663640489998,108,100,100,253.0025573,252.0424171,163.0030745,59906.02318,12438.10689,140.5,12438.10689,4,16.86944751
248663641489998,108,100,260,101.4110327,70.75246246,173.5304787,24917.56153,4406.722626,144.5714286,4406.722626,4,10.35120768
248663854489998,109,100,32,159.6490141,142.1775232,795.3372039,5944.305824,3029.245007,54.29824561,3029.245007,4,6.066577824
248664056489998,67,100,210,172.4864295,151.1626862,105.281428,22433.29743,5938.078021,123.3333333,5938.078021,5,17.33156916
248664449489998,104,100,46,179.0309268,149.8088801,132.81732,23360.48139,5883.303722,88.33333333,5883.303722,4,15.72073965
248664814489998,15,100,560,212.15274,148.9382445,72.52025661,46833.69381,9696.057799,146.2857143,9696.057799,5,23.15959489
248665446489998,103,100,90,149.7203538,125.8039638,638.5978317,20347.17771,5106.816018,120.7777778,5106.816018,4,6.556363207
248665868489998,134,100,25,87.45555345,62.98807901,127.378154,9247.742632,2912.968417,73.45454545,2912.968417,3,11.21973302
248665869489998,134,100,125,156.1833663,154.8389599,41.081298,48478.21431,8347.696372,187.8571429,8347.696372,3,26.40168304
248668409489998,119,100,102,518.2200284,517.4127255,216.8999426,98758.03218,25383.10342,160.3076923,25383.10342,4,20.92973262
