"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"4ffc1e0c-6cf5-401e-8294-4f65ea35cd19","1201041060106700755510001",2014,21.00,0.00,54.61,147.02,0.37,1.00
"5e831489-cbe6-4113-b068-451ac4fe0395","1201041060106700794570001",2014,16.00,16.00,51.71,51.71,1.00,1.00
"42ff20de-95d9-4d07-b62c-ec191b7b8372","1201041060107100703300001",2014,16.00,0.00,8.05,8.05,1.00,1.00
"107cf5ca-0dc5-4a76-86d3-1222faac5edd","1201041060107100876750001",2014,22.00,19.00,44.70,16.52,0.29,0.10
"65c5deea-f3c3-4f69-88cd-83da5b476d3f","1201041060107100876750002",2014,16.00,22.00,68.93,145.81,0.32,0.67
"1029d0f0-20ee-4546-af72-7231972726cf","1201053011000900563560001",2014,16.00,0.00,145.03,192.82,0.75,1.00
"7d563974-2cb7-489c-b3c3-60fde8653ad4","1201053011000900657060001",2014,16.00,16.00,160.88,160.88,0.96,0.96
"18ffd170-3aad-41d6-a290-9c123167cc1f","1201053011000900704700001",2014,19.00,19.00,66.15,66.15,0.38,0.38
"536f6586-aab1-4725-80af-1b03706e3b1b","1201053011002700654060001",2014,19.00,18.00,244.89,61.43,0.78,0.19
"56415a04-3b2c-4dd7-b850-3ee9eb8a1d2a","1201053011002700767270001",2014,19.00,0.00,310.54,346.67,0.89,1.00
"3f4d90a9-ed5d-4eba-a48d-14dce45658ce","1201053011002700783250001",2014,19.00,19.00,212.14,212.14,0.99,0.99
"57e4ee0f-e70c-40e3-8a14-d19d463d933d","1201053011002700822600001",2014,19.00,1.00,193.71,34.80,0.84,0.15
"1d81ed6a-d414-4efd-a722-4b77f40daa57","1201053011003100807490001",2014,16.00,0.00,189.66,215.15,0.88,1.00
"c286fad2-3757-4b6b-9eae-07ba9eb5143b","1201053011003100856280001",2014,19.00,0.00,205.99,326.38,0.63,1.00
"c9d3ff27-0fb8-4f04-96b7-c77ec53918ca","1201053011003100891600001",2014,19.00,0.00,92.18,295.21,0.31,0.99
"99bc7b85-5f35-4dd5-973b-8ba09b78105f","1201053011004500533810001",2014,16.00,19.00,81.09,11.86,0.72,0.10
"33464971-449e-4a44-848f-4e21151a0e92","1201053011004500707920001",2014,18.00,0.00,26.32,216.20,0.12,0.99
"e1fa07e0-0a77-47e9-9b6a-de105d4ce656","1201053011004500731560001",2014,16.00,19.00,96.29,14.65,0.86,0.13
"ab4fff30-d6a5-4330-9fb5-fe91514f82b8","1201053011004500761160001",2014,16.00,0.00,339.48,351.36,0.96,1.00
"52c16868-a335-438b-b6ee-4b35fc0c2c3d","1201053011004500772520001",2014,16.00,19.00,57.15,4.48,0.92,0.07
"a59a61a7-6ece-4847-9ca0-0be60acf2801","1201053011004500867510001",2014,16.00,0.00,115.33,116.63,0.98,1.00
"906878ab-a29a-4659-93e2-fe07a7e0b243","1201053050700900534750001",2014,19.00,0.00,124.11,353.87,0.35,1.00
"7dfcc117-a4ca-4ec2-89b5-7374886466a7","1201053050800900921800002",2014,18.00,0.00,112.03,180.11,0.62,0.99
"88f68fe3-155d-455f-975e-504a867290bd","1201053050800900921800003",2014,16.00,0.00,153.34,217.93,0.70,1.00
"fa2a9032-ee5d-492a-9a53-91a2a8a9c23a","1201053050803100905010001",2014,16.00,19.00,81.54,77.29,0.25,0.24
"eb3a830f-0ca9-415c-88f8-1d05918e058e","1201053050804500505270002",2014,19.00,0.00,62.05,207.33,0.29,1.00
"535f0492-7588-4b83-8a7a-7f8cb5bf7f31","1201053050900900532660001",2014,19.00,0.00,112.48,283.50,0.39,1.00
"2ae955d2-591f-420e-a7d6-833fec0a6825","1201053050900900568570001",2014,16.00,18.00,186.94,9.62,0.68,0.03
"10fdb942-32c0-4cda-adcb-e8a865511f29","1201053050900900589830001",2014,19.00,0.00,96.91,313.09,0.30,0.99
"1590cca5-a3c2-4c27-a3aa-a698d65ca5df","1201053050900900644630001",2014,19.00,0.00,179.17,384.93,0.46,0.99
"0124d218-b536-4c2e-859f-b4b9613763b1","1201053050900900660960001",2014,19.00,19.00,191.32,191.32,0.53,0.53
"01f487fb-2d70-4ed6-811a-7cf86a9de79c","1201053050900900693090001",2014,4.00,0.00,202.35,202.35,0.99,0.99
"67ab25a0-08ee-4399-b3b6-1d982900de3e","1201053050900900728700001",2014,16.00,19.00,244.71,54.45,0.75,0.16
"ddeccfec-149a-4315-8857-2e36f36f333f","1201053050900900785770001",2014,22.00,0.00,30.26,84.16,0.35,1.00
"e50ea2ee-5ab3-43c0-922f-88873c9e907f","1201053050900900837570001",2014,16.00,0.00,108.19,120.85,0.89,1.00
"b5483d75-e81d-41f5-8af2-d6522aca6043","1201053050900900923830001",2014,22.00,0.00,76.58,265.01,0.28,0.99
"6f908d26-2ea0-4345-b3c7-bce193aa51d7","1201053050900900953190001",2014,1.00,0.00,111.65,251.23,0.44,1.00
"a29aa840-7091-464c-8625-027ae1f44bab","1201053050901100872830001",2014,16.00,0.00,43.37,48.42,0.89,1.00
"7361e2a3-3ac0-4069-b151-2d4e5044aaa0","1201053050901500524650001",2014,16.00,0.00,139.48,141.84,0.98,0.99
"1daf2e35-621d-4e96-ad9f-ea27041bad75","1201053050901500715450001",2014,16.00,0.00,178.44,178.44,1.00,1.00
"249848d5-4b54-48f0-af4a-68cf01ab7aa6","1201053050901500717690001",2014,18.00,0.00,69.73,165.10,0.42,1.00
"6def1be5-c5d1-4ae3-8ee4-0d7adfce10c7","1201053050901500758320001",2014,22.00,0.00,71.79,115.15,0.62,1.00
"56ba678b-09e9-4af6-b3d8-2066d7600aa6","1201053050901500833010001",2014,22.00,0.00,38.27,187.12,0.20,1.00
"13ffb631-6ff9-4b57-a28a-e0a663000152","1201053050901500920490001",2014,16.00,19.00,118.95,1.75,0.97,0.01
"0df6958b-7f2f-4696-a2d7-0212ce7e034b","1201053050901500949200001",2014,22.00,0.00,12.86,13.52,0.95,1.00
"0c0f1a2c-19fc-451e-ac8f-219a43925a66","1201053050901500976730001",2014,16.00,0.00,203.43,216.42,0.93,1.00
"0afdfa62-4284-4528-a057-787633bb675c","1201053050902700539090001",2014,19.00,0.00,244.02,315.29,0.77,1.00
"277e4caa-b519-456d-a319-01d22dcf8a04","1201053050902700554780001",2014,16.00,0.00,5.83,7.01,0.83,1.00
"3ec418d1-924a-4bbd-aea0-131ab91f67c3","1201053050902700562680001",2014,19.00,19.00,191.93,191.93,0.65,0.65
"2870667a-e1ae-4b9e-831e-73f25f6e0b1f","1201053050902700677860001",2014,16.00,19.00,52.84,79.33,0.30,0.45
"f44705f8-7981-48ac-9002-3a4e6960f750","1201053050902700680890001",2014,19.00,0.00,86.43,87.81,0.98,1.00
"0f2fe906-087b-496c-a194-42784e85a10a","1201053050902700692490001",2014,0.00,0.00,0.00,0.00,,
"8396aef8-7c85-4648-913a-70087df038d3","1201053050902700693470001",2014,16.00,0.00,195.13,195.13,0.99,0.99
"d1c06cce-6b4c-46db-8cd6-01e44b1c6423","1201053050902700768440001",2014,0.00,0.00,0.00,0.00,,
"7a2e3047-70ca-44cf-841e-39c399488bd1","1201053050902700802850001",2014,18.00,33.00,3.41,5.58,0.23,0.39
"1a30ace4-dac0-4b6b-a43d-a394364c76d7","1201053050902700807180001",2014,16.00,0.00,116.10,121.68,0.95,1.00
"fde26f41-0bae-4c7a-9028-6649d2582089","1201053050902700832160001",2014,16.00,0.00,39.17,45.48,0.86,0.99
"2555baae-be0c-4806-af15-975c54846705","1201053050902700889660001",2014,22.00,0.00,78.11,83.52,0.93,1.00
"36c5b0a0-605d-45f3-ae37-4efc120f6020","1201053050902700889660002",2014,16.00,0.00,169.40,169.40,1.00,1.00
"5a026574-91af-4c25-b23c-60b62aa17fa9","1201053050902700900690001",2014,0.00,0.00,0.00,0.00,,
"68556535-5daa-4573-b5fe-0bf51f8734e2","1201053050902700921030001",2014,19.00,33.00,101.01,4.83,0.36,0.01
"0a427a25-692f-4838-a950-e04d7451e8a5","1201053050902700977450001",2014,19.00,0.00,297.12,326.13,0.91,1.00
"2508442b-1ef9-47c8-a0b1-921fcfd87995","1201053050902700997880001",2014,19.00,0.00,169.30,242.45,0.69,0.99
"6d9643c4-34cf-41bd-b081-2be29e1678be","1201053050902900515350001",2014,16.00,0.00,95.59,205.01,0.46,1.00
"3a14be9f-954f-44ac-a797-5a536c6b4bb5","1201053050902900690610001",2014,22.00,19.00,16.29,3.75,0.54,0.12
"1b8ead03-bba5-4c93-a2ca-a243ecd4cda0","1201053050903100541360001",2014,19.00,19.00,95.93,95.93,0.22,0.22
"ac1aa16a-7966-4fa8-8d92-441de925af55","1201053050903100557030001",2014,16.00,0.00,136.12,137.77,0.98,0.99
"6ce1c570-9e0f-4c27-be08-f4e6c7116db8","1201053050903100567930001",2014,19.00,19.00,165.06,165.06,0.82,0.82
